match_title,event_name,team_a,team_b,odds_a,odds_b,true_prob_a,true_prob_b,vig_percent,bookmaker_name,extraction_layer,scraped_at
Chicken Coop vs Lynn Vision,CCT 2026 Europe Series 4,Chicken Coop,Lynn Vision,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-17 12:03:31.549350
Arch vs SINNERS,European Pro League Series 7,Arch,SINNERS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-17 12:03:22.110649
Fire Flux vs Alliance,Stake Ranked Episode 3 Closed Qualifier,Fire Flux,Alliance,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-17 12:03:11.631757
ReThink vs Nemesis,CCT 2026 Europe Series 4,ReThink,Nemesis,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-17 12:03:01.550826
QUAZAR vs EYEBALLERS,European Pro League Series 7,QUAZAR,EYEBALLERS,1.31,3.23,71.15,28.85,7.3,HLTV,,2026-06-17 12:02:52.345016
Acend vs Ninjas in Pyjamas,Stake Ranked Episode 3 Closed Qualifier,Acend,Ninjas in Pyjamas,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-17 12:02:49.326452
Falcons vs TYLOO,CCT 2026 Europe Series 4,Falcons,TYLOO,3.52,1.32,27.27,72.73,4.17,HLTV,,2026-06-17 12:02:39.297266
WW vs BET-M,IEM Cologne Major 2026,WW,BET-M,1.96,1.75,47.17,52.83,8.16,HLTV,,2026-06-17 12:02:36.272837
G2 vs Vitality,Stake Ranked Episode 3 Closed Qualifier,G2,Vitality,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-17 12:02:33.231501
K27 vs CYBERSHOKE,CCT 2026 Europe Series 4,K27,CYBERSHOKE,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-17 12:02:23.241668
Walczaki vs Spirit,IEM Cologne Major 2026,Walczaki,Spirit,1.67,2.1,55.7,44.3,7.5,HLTV,,2026-06-17 12:02:13.273029
Inner Circle vs SHISHKA,European Pro League Series 7,Inner Circle,SHISHKA,1.43,2.66,65.04,34.96,7.52,HLTV,,2026-06-17 12:02:10.250743
9z vs Oxuji,Stake Ranked Episode 3 Closed Qualifier,9z,Oxuji,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-17 12:02:07.231554
Echo vs Spirit Academy,CCT 2026 Europe Series 4,Echo,Spirit Academy,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-17 12:01:57.049899
Aurora vs FURIA,European Pro League Series 7,Aurora,FURIA,1.11,5.52,83.26,16.74,8.21,HLTV,,2026-06-17 12:01:47.253592
INFINITE vs KOLESIE,Stake Ranked Episode 3 Closed Qualifier,INFINITE,KOLESIE,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-17 12:01:44.231512
JiJieHao vs BetBoom,DFRAG Open Series 5,JiJieHao,BetBoom,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-17 12:01:34.778318
TDK vs Oxuji,CCT 2026 Europe Series 4,TDK,Oxuji,1.94,1.73,47.14,52.86,9.35,HLTV,,2026-06-17 12:01:24.745141
FOKUS vs Phantom,CCT 2026 Europe Series 4,FOKUS,Phantom,1.65,2.05,55.41,44.59,9.39,HLTV,,2026-06-17 12:01:21.546482
Ground Zero vs Walczaki,CCT 2026 Europe Series 4,Ground Zero,Walczaki,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-17 12:01:18.527270
SPARTA vs Rooster,European Pro League Series 7,SPARTA,Rooster,2.45,1.55,38.75,61.25,5.33,HLTV,,2026-06-17 12:00:49.585248
Nuclear TigeRES vs illwill,CCT 2026 Europe Series 4,Nuclear TigeRES,illwill,1.74,2.02,53.72,46.28,6.98,HLTV,,2026-06-17 12:00:46.564010
Nuclear TigeRES vs Bebop,NODWIN Clutch Series 9,Nuclear TigeRES,Bebop,2.74,1.42,34.13,65.87,6.92,HLTV,,2026-06-17 12:00:43.521745
TDK vs Nemesis,NODWIN Clutch Series 9,TDK,Nemesis,1.64,2.17,56.96,43.04,7.06,HLTV,,2026-06-17 10:04:08.752430
3DMAX vs undefined,ESEA Advanced Season 57 Europe,3DMAX,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:07:34.085188
PARIVISION vs undefined,ESEA Advanced Season 57 Europe,PARIVISION,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:07:15.425421
FaZe vs undefined,NODWIN Clutch Series 9,FaZe,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:06:56.391091
Arch vs undefined,IEM Cologne Major 2026 Stage 2,Arch,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:06:46.902505
ReThink vs undefined,IEM Cologne Major 2026 Stage 2,ReThink,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:06:37.313163
MOUZ vs undefined,IEM Cologne Major 2026 Stage 2,MOUZ,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:06:27.975079
PARIVISION vs MIBR,CCT 2026 Europe Series 4 Closed Qualifier,PARIVISION,MIBR,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:06:08.755185
Aurora vs GamerLegion,NODWIN Clutch Series 9,Aurora,GamerLegion,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:05:59.202978
Natus Vincere vs EYEBALLERS,IEM Cologne Major 2026 Stage 2,Natus Vincere,EYEBALLERS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:05:41.047338
Falcons vs Ninjas in Pyjamas,CCT 2026 Europe Series 4 Closed Qualifier,Falcons,Ninjas in Pyjamas,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:05:31.837841
Vitality vs Nemesis,NODWIN Clutch Series 9,Vitality,Nemesis,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:05:22.843373
Falcons Force vs Alliance,European Pro League Series 7,Falcons Force,Alliance,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:05:13.421973
B8 Academy vs MIBR,DFRAG Open Series 5,B8 Academy,MIBR,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:05:04.191550
Wingman vs BIG,DFRAG Open Series 5,Wingman,BIG,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:04:55.458313
NEW VISION vs M80,CCT 2026 Europe Series 4 Closed Qualifier,NEW VISION,M80,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:04:46.548077
G2 Ares vs SINNERS,NODWIN Clutch Series 9,G2 Ares,SINNERS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:04:37.528979
Rooster vs Young Ninjas,European Pro League Series 7,Rooster,Young Ninjas,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:04:28.232368
SemperFi vs DXA,ESEA Advanced Season 57 North America,SemperFi,DXA,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:04:18.736746
aAa vs MGLBROS,CCT 2026 Europe Series 4 Closed Qualifier,aAa,MGLBROS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:04:09.026336
Lavked vs RUSTEC,NODWIN Clutch Series 9,Lavked,RUSTEC,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:03:59.420158
MANA vs Misa,IEM Cologne Major 2026 Stage 2,MANA,Misa,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:03:49.833528
DONSTU vs Oxuji,IEM Cologne Major 2026 Stage 2,DONSTU,Oxuji,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:03:40.669858
ROUNDS vs Banger Gang,IEM Cologne Major 2026 Stage 2,ROUNDS,Banger Gang,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:03:31.481154
XI vs OLDBOYS PL,IEM Cologne Major 2026 Stage 2,XI,OLDBOYS PL,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:03:22.001210
GenOne vs Third Prime,CCT 2026 Europe Series 4 Closed Qualifier,GenOne,Third Prime,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:02:29.513865
Lilmix vs NEW VISION,NODWIN Clutch Series 9,Lilmix,NEW VISION,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 18:02:20.192695
B8 vs M80,IEM Cologne Major 2026 Stage 2,B8,M80,1.7,2.2,56.41,43.59,4.28,HLTV,,2026-06-06 18:00:53.155756
Spirit vs MIBR,IEM Cologne Major 2026 Stage 2,Spirit,MIBR,1.21,4.64,79.32,20.68,4.2,HLTV,,2026-06-06 18:00:50.114959
Legacy vs FlyQuest,IEM Cologne Major 2026 Stage 2,Legacy,FlyQuest,1.4,2.95,67.82,32.18,5.33,HLTV,,2026-06-06 18:00:43.937388
BetBoom vs GamerLegion,CCT 2026 Europe Series 4 Closed Qualifier,BetBoom,GamerLegion,1.33,3.15,70.31,29.69,6.93,HLTV,,2026-06-06 17:46:25.082476
Johnny Speeds vs undefined,CCT 2026 Europe Series 4,Johnny Speeds,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:13:56.343983
RUSTEC vs undefined,IEM Cologne Major 2026 Stage 2,RUSTEC,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:13:46.455155
G2 Ares vs undefined,IEM Cologne Major 2026 Stage 2,G2 Ares,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:13:36.841524
Nuclear TigeRES vs undefined,CCT 2026 Europe Series 4,Nuclear TigeRES,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:13:27.009097
TDK vs undefined,NODWIN Clutch Series 9,TDK,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:13:17.269054
ARCRED vs undefined,IEM Cologne Major 2026 Stage 2,ARCRED,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:13:07.060978
Betclic vs undefined,CCT 2026 Europe Series 4,Betclic,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:12:57.262705
ex-Zero Tenacity vs undefined,NODWIN Clutch Series 9,ex-Zero Tenacity,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:12:47.164680
Leo vs undefined,European Pro League Series 7,Leo,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:12:36.943618
Legacy vs undefined,European Pro League Series 7,Legacy,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:12:16.580548
Spirit vs undefined,CCT 2026 Europe Series 4,Spirit,,2.0,2.5,55.56,44.44,-10.0,HLTV,,2026-06-06 06:12:06.462315
Monte vs undefined,ESEA Advanced Season 57 Europe,Monte,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:11:56.666038
G2 vs undefined,European Pro League Series 7,G2,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:11:46.502337
paiN vs bankaPEPSI,ESEA Advanced Season 57 North America,paiN,bankaPEPSI,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:11:36.395047
FUT vs 100 Thieves,ESEA Advanced Season 57 North America,FUT,100 Thieves,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:11:26.238048
9z vs 1win,ESEA Advanced Season 57 Europe,9z,1win,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:11:16.250597
Astralis vs Young Ninjas,ESEA Advanced Season 57 Europe,Astralis,Young Ninjas,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:11:06.728415
BetBoom vs aAa,ESEA Advanced Season 57 Europe,BetBoom,aAa,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:10:56.978973
B8 vs AM,ESEA Advanced Season 57 Europe,B8,AM,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:10:47.418238
9z vs Walczaki,CCT 2026 Europe Series 4 Closed Qualifier,9z,Walczaki,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:10:37.383322
3DMAX vs ASTRAL,NODWIN Clutch Series 9,3DMAX,ASTRAL,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:10:27.606513
Monte vs INOX Division,IEM Cologne Major 2026 Stage 2,Monte,INOX Division,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:10:18.312669
PARIVISION vs BIG Academy,IEM Cologne Major 2026 Stage 2,PARIVISION,BIG Academy,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:10:08.877733
Legacy vs NEW VISION,IEM Cologne Major 2026 Stage 2,Legacy,NEW VISION,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:09:58.949461
FaZe vs GenOne,IEM Cologne Major 2026 Stage 2,FaZe,GenOne,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:09:49.076078
Arch vs MIBR,CCT 2026 Europe Series 4 Closed Qualifier,Arch,MIBR,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:09:38.923511
ReThink vs BetBoom,NODWIN Clutch Series 9,ReThink,BetBoom,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:09:28.821726
MOUZ vs BIG,IEM Cologne Major 2026 Stage 2,MOUZ,BIG,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:09:18.744793
The MongolZ vs M80,IEM Cologne Major 2026 Stage 2,The MongolZ,M80,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:09:08.638178
PARIVISION vs TYLOO,CCT 2026 Europe Series 4 Closed Qualifier,PARIVISION,TYLOO,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:08:58.730994
Aurora vs B8,NODWIN Clutch Series 9,Aurora,B8,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:08:49.032225
FURIA vs FlyQuest,IEM Cologne Major 2026 Stage 2,FURIA,FlyQuest,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:08:38.964998
Natus Vincere vs GamerLegion,DFRAG Open Series 5,Natus Vincere,GamerLegion,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:08:28.912680
Falcons vs EYEBALLERS,DFRAG Open Series 5,Falcons,EYEBALLERS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:08:18.851632
Vitality vs Ninjas in Pyjamas,CCT 2026 Europe Series 4 Closed Qualifier,Vitality,Ninjas in Pyjamas,1.36,2.91,68.15,31.85,7.89,HLTV,,2026-06-06 06:08:08.812392
Falcons Force vs Nemesis,NODWIN Clutch Series 9,Falcons Force,Nemesis,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:08:05.748157
B8 Academy vs Alliance,European Pro League Series 7,B8 Academy,Alliance,1.41,2.71,65.78,34.22,7.82,HLTV,,2026-06-06 06:07:55.244414
Wingman vs MIBR,ESEA Advanced Season 57 North America,Wingman,MIBR,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:07:52.225930
Rooster vs M80,NODWIN Clutch Series 9,Rooster,M80,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:07:32.657716
SemperFi vs SINNERS,IEM Cologne Major 2026 Stage 2,SemperFi,SINNERS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:07:22.943179
Lavked vs DXA,IEM Cologne Major 2026 Stage 2,Lavked,DXA,1.17,4.53,79.47,20.53,7.55,HLTV,,2026-06-06 06:07:13.088387
MANA vs MGLBROS,IEM Cologne Major 2026 Stage 2,MANA,MGLBROS,1.53,2.37,60.77,39.23,7.55,HLTV,,2026-06-06 06:07:10.027364
DONSTU vs Misa,IEM Cologne Major 2026 Stage 2,DONSTU,Misa,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:07:06.994156
ROUNDS vs Oxuji,CCT 2026 Europe Series 4 Closed Qualifier,ROUNDS,Oxuji,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:06:57.942554
XI vs Banger Gang,NODWIN Clutch Series 9,XI,Banger Gang,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:06:48.929920
Misa vs Clutchain,CCT 2026 Europe Series 4 Closed Qualifier,Misa,Clutchain,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:06:39.071241
HYPERSPIRIT vs eternal premium,NODWIN Clutch Series 9,HYPERSPIRIT,eternal premium,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:06:30.026965
Abyssal vs INOX Division,IEM Cologne Major 2026 Stage 2,Abyssal,INOX Division,1.36,2.91,68.15,31.85,7.89,HLTV,,2026-06-06 06:06:20.751609
Ground Zero vs Ding Cuts,IEM Cologne Major 2026 Stage 2,Ground Zero,Ding Cuts,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:06:17.730376
PsychoFace vs MARKandLARRY,IEM Cologne Major 2026 Stage 2,PsychoFace,MARKandLARRY,1.36,2.91,68.15,31.85,7.89,HLTV,,2026-06-06 06:06:14.708582
Chicken Coop vs brazylijski luz,IEM Cologne Major 2026 Stage 2,Chicken Coop,brazylijski luz,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:06:05.539819
Lilmix vs Third Prime,European Pro League Series 7,Lilmix,Third Prime,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:05:56.239782
Atreides vs HYPERSPIRIT,European Pro League Series 7,Atreides,HYPERSPIRIT,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:05:42.946804
Virtus.pro vs GenOne,CCT 2026 Europe Series 4 Closed Qualifier,Virtus.pro,GenOne,1.17,4.53,79.47,20.53,7.55,HLTV,,2026-06-06 06:05:29.504238
ENCE vs brazylijski luz,NODWIN Clutch Series 9,ENCE,brazylijski luz,1.53,2.37,60.77,39.23,7.55,HLTV,,2026-06-06 06:05:13.097328
KOLESIE vs Lazer Cats,European Pro League Series 7,KOLESIE,Lazer Cats,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:05:10.076883
Club 333 vs raisedbypixels,ESEA Advanced Season 57 North America,Club 333,raisedbypixels,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:05:07.056115
LAG vs Villainous,ESEA Advanced Season 57 North America,LAG,Villainous,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:04:57.555089
Wanted Goons vs Brahmas,ESEA Advanced Season 57 North America,Wanted Goons,Brahmas,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:04:45.848039
ex-Zero Tenacity vs BIG Academy,ESEA Advanced Season 57 Europe,ex-Zero Tenacity,BIG Academy,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:04:30.126939
Nuclear TigeRES vs AM,IEM Cologne Major 2026 Stage 2,Nuclear TigeRES,AM,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:04:19.597085
Leo vs NEW VISION,IEM Cologne Major 2026 Stage 2,Leo,NEW VISION,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:04:09.770230
TDK vs Walczaki,CCT 2026 Europe Series 4 Closed Qualifier,TDK,Walczaki,5.52,1.11,16.74,83.26,8.21,HLTV,,2026-06-06 06:03:59.896689
Spirit vs BetBoom,IEM Cologne Major 2026 Stage 2,Spirit,BetBoom,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:03:53.857096
ex-RUBY vs 100 Thieves,IEM Cologne Major 2026 Stage 2,ex-RUBY,100 Thieves,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:03:44.008459
aAa vs GenOne,NODWIN Clutch Series 9,aAa,GenOne,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:03:12.263767
Johnny Speeds vs 1win,IEM Cologne Major 2026 Stage 2,Johnny Speeds,1win,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:02:05.487613
Legacy vs MIBR,NODWIN Clutch Series 9,Legacy,MIBR,1.35,3.07,69.46,30.54,6.65,HLTV,,2026-06-06 06:01:34.770141
Monte vs BIG,CCT 2026 Europe Series 3,Monte,BIG,1.69,2.08,55.17,44.83,7.25,HLTV,,2026-06-06 06:01:13.171917
G2 vs M80,IEM Cologne Major 2026 Stage 2,G2,M80,2.97,1.37,31.57,68.43,6.66,HLTV,,2026-06-06 06:01:10.146552
paiN vs TYLOO,IEM Cologne Major 2026 Stage 2,paiN,TYLOO,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:01:07.108262
