match_title,event_name,team_a,team_b,odds_a,odds_b,true_prob_a,true_prob_b,vig_percent,bookmaker_name,extraction_layer,scraped_at
FUT vs B8,CCT 2026 Europe Series 4 Closed Qualifier,FUT,B8,1.2,4.09,77.32,22.68,7.78,HLTV,,2026-06-06 06:01:04.086719
9z vs FlyQuest,IEM Cologne Major 2026 Stage 2,9z,FlyQuest,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:01:00.949430
Astralis vs GamerLegion,CCT 2026 Europe Series 3,Astralis,GamerLegion,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:00:57.489044
ZOTIX vs undefined,IEM Cologne Major 2026 Stage 2,ZOTIX,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:14:03.936060
BetBoom vs undefined,NODWIN Clutch Series 9,BetBoom,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:10:31.260731
B8 vs undefined,DFRAG Open Series 5,B8,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:10:22.941311
9z vs undefined,ESEA Advanced Season 57 Europe,9z,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:10:09.850415
3DMAX vs Arch,CCT 2026 Europe Series 4 Closed Qualifier,3DMAX,Arch,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:09:55.267970
Monte vs COPH9K,NODWIN Clutch Series 9,Monte,COPH9K,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:09:45.449079
PARIVISION vs Banger Gang,IEM Cologne Major 2026 Stage 2,PARIVISION,Banger Gang,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:09:36.226461
Legacy vs bankaPEPSI,IEM Cologne Major 2026 Stage 2,Legacy,bankaPEPSI,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:09:26.613108
FaZe vs LFO 6,IEM Cologne Major 2026 Stage 2,FaZe,LFO 6,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:09:18.063460
MOUZ vs Clutchain,IEM Cologne Major 2026 Stage 2,MOUZ,Clutchain,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:09:05.622998
The MongolZ vs JUMBO,CCT 2026 Europe Series 4 Closed Qualifier,The MongolZ,JUMBO,1.41,2.71,65.78,34.22,7.82,HLTV,,2026-06-05 12:08:55.629608
PARIVISION vs Project 91,NODWIN Clutch Series 9,PARIVISION,Project 91,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:08:52.581786
Aurora vs ReThink,European Pro League Series 7,Aurora,ReThink,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:08:39.418278
FURIA vs ROUNDS,CCT 2026 Europe Series 4 Closed Qualifier,FURIA,ROUNDS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:08:25.903667
Natus Vincere vs Phantom,NODWIN Clutch Series 9,Natus Vincere,Phantom,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:08:12.508126
Falcons vs ex-RUBY,European Pro League Series 7,Falcons,ex-RUBY,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:08:02.467182
Vitality vs Misa,IEM Cologne Major 2026 Stage 2,Vitality,Misa,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:07:52.700671
Falcons Force vs RUSTEC,IEM Cologne Major 2026 Stage 2,Falcons Force,RUSTEC,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:07:43.350317
B8 Academy vs CYBERSHOKE,IEM Cologne Major 2026 Stage 2,B8 Academy,CYBERSHOKE,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:07:34.530942
Wingman vs BIG Academy,IEM Cologne Major 2026 Stage 2,Wingman,BIG Academy,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:07:21.270380
NEW VISION vs ex-Zero Tenacity,CCT 2026 Europe Series 4 Closed Qualifier,NEW VISION,ex-Zero Tenacity,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:07:06.449677
Rooster vs BIG,NODWIN Clutch Series 9,Rooster,BIG,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:06:57.436954
SemperFi vs FlyQuest,IEM Cologne Major 2026 Stage 2,SemperFi,FlyQuest,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:06:49.368354
Lavked vs EYEBALLERS,IEM Cologne Major 2026 Stage 2,Lavked,EYEBALLERS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:06:34.708986
MANA vs Ninjas in Pyjamas,CCT 2026 Europe Series 3,MANA,Ninjas in Pyjamas,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:06:24.723016
undefined vs undefined,,,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:02:09.526078
Fire Flux vs undefined,IEM Cologne Major 2026 Stage 2,Fire Flux,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:01:59.768012
DONSTU vs undefined,IEM Cologne Major 2026 Stage 2,DONSTU,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:01:43.654442
OLDBOYS PL vs undefined,NODWIN Clutch Series 9,OLDBOYS PL,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:01:16.357311
XI vs undefined,CCT 2026 Europe Series 4 Closed Qualifier,XI,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:01:06.622216
VP.Prodigy vs undefined,NODWIN Clutch Series 9,VP.Prodigy,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:00:50.279379
Misa vs undefined,IEM Cologne Major 2026 Stage 2,Misa,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:00:40.468526
eternal premium vs undefined,IEM Cologne Major 2026 Stage 2,eternal premium,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:00:24.973792
QUAZAR vs undefined,CCT 2026 Europe Series 4 Closed Qualifier,QUAZAR,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:00:15.824433
ENRAGE vs undefined,NODWIN Clutch Series 9,ENRAGE,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:00:06.626856
100 Thieves vs undefined,European Pro League Series 7,100 Thieves,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:59:57.575549
Bushido Wildcats vs undefined,DFRAG Open Series 5,Bushido Wildcats,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:59:48.025746
Oxuji vs undefined,DFRAG Open Series 5,Oxuji,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:59:38.719363
ex-RUBY vs undefined,European Pro League Series 7,ex-RUBY,,2.0,2.5,55.56,44.44,-10.0,HLTV,,2026-06-05 11:59:29.938713
SPARTA vs undefined,NODWIN Clutch Series 9,SPARTA,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:59:20.307768
GenOne vs undefined,European Pro League Series 7,GenOne,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:59:10.883362
aAa vs undefined,DFRAG Open Series 5,aAa,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:59:01.136173
NRG vs undefined,NODWIN Clutch Series 9,NRG,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:58:51.446184
Liquid vs undefined,IEM Cologne Major 2026 Stage 2,Liquid,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:58:41.735113
TYLOO vs undefined,IEM Cologne Major 2026 Stage 2,TYLOO,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:58:31.981107
B8 vs COPH9K,IEM Cologne Major 2026 Stage 2,B8,COPH9K,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:58:13.727992
9z vs Banger Gang,CCT 2026 Europe Series 4 Closed Qualifier,9z,Banger Gang,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:58:04.043065
3DMAX vs bankaPEPSI,NODWIN Clutch Series 9,3DMAX,bankaPEPSI,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:57:54.395781
Monte vs LFO 6,IEM Cologne Major 2026 Stage 2,Monte,LFO 6,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:57:44.755702
PARIVISION vs Clutchain,IEM Cologne Major 2026 Stage 2,PARIVISION,Clutchain,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:57:35.050324
Legacy vs JUMBO,IEM Cologne Major 2026 Stage 2,Legacy,JUMBO,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:57:25.927451
FaZe vs Project 91,IEM Cologne Major 2026 Stage 2,FaZe,Project 91,1.41,2.71,65.78,34.22,7.82,HLTV,,2026-06-05 11:57:16.627371
MOUZ vs ReThink,CCT 2026 Europe Series 4 Closed Qualifier,MOUZ,ReThink,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:57:13.584057
The MongolZ vs ROUNDS,NODWIN Clutch Series 9,The MongolZ,ROUNDS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:57:04.264187
PARIVISION vs Phantom,European Pro League Series 7,PARIVISION,Phantom,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:56:54.960126
Aurora vs ex-RUBY,CCT 2026 Europe Series 4 Closed Qualifier,Aurora,ex-RUBY,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:56:45.780296
FURIA vs Misa,NODWIN Clutch Series 9,FURIA,Misa,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:56:36.092941
Natus Vincere vs RUSTEC,European Pro League Series 7,Natus Vincere,RUSTEC,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:56:26.490753
Falcons vs CYBERSHOKE,IEM Cologne Major 2026 Stage 2,Falcons,CYBERSHOKE,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:56:16.845435
Vitality vs BIG Academy,IEM Cologne Major 2026 Stage 2,Vitality,BIG Academy,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:56:07.236497
Falcons Force vs ex-Zero Tenacity,IEM Cologne Major 2026 Stage 2,Falcons Force,ex-Zero Tenacity,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:55:57.796857
B8 Academy vs BIG,IEM Cologne Major 2026 Stage 2,B8 Academy,BIG,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:55:48.618051
Wingman vs FlyQuest,CCT 2026 Europe Series 4 Closed Qualifier,Wingman,FlyQuest,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:55:39.080446
NEW VISION vs Lynn Vision,NODWIN Clutch Series 9,NEW VISION,Lynn Vision,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:55:29.535201
Rooster vs EYEBALLERS,IEM Cologne Major 2026 Stage 2,Rooster,EYEBALLERS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:55:20.142432
SemperFi vs Ninjas in Pyjamas,IEM Cologne Major 2026 Stage 2,SemperFi,Ninjas in Pyjamas,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:55:10.430641
HYPERSPIRIT vs Nemesis,IEM Cologne Major 2026 Stage 2,HYPERSPIRIT,Nemesis,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:55:00.666356
Abyssal vs Alliance,IEM Cologne Major 2026 Stage 2,Abyssal,Alliance,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:54:51.083947
Ground Zero vs MIBR,CCT 2026 Europe Series 4 Closed Qualifier,Ground Zero,MIBR,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:54:41.347997
PsychoFace vs BIG,NODWIN Clutch Series 9,PsychoFace,BIG,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:54:31.657747
Atreides vs M80,CCT 2026 Europe Series 3,Atreides,M80,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:54:22.025913
Virtus.pro vs SINNERS,CCT 2026 Europe Series 4 Closed Qualifier,Virtus.pro,SINNERS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:54:12.261556
ENCE vs DXA,NODWIN Clutch Series 9,ENCE,DXA,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:54:02.796049
KOLESIE vs MGLBROS,IEM Cologne Major 2026 Stage 2,KOLESIE,MGLBROS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:53:53.219306
Nuclear TigeRES vs INOX Division,IEM Cologne Major 2026 Stage 2,Nuclear TigeRES,INOX Division,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:53:43.599618
TDK vs Ding Cuts,IEM Cologne Major 2026 Stage 2,TDK,Ding Cuts,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:53:34.192746
ARCRED vs MARKandLARRY,IEM Cologne Major 2026 Stage 2,ARCRED,MARKandLARRY,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:53:24.683944
Monte vs brazylijski luz,IEM Cologne Major 2026 Stage 2,Monte,brazylijski luz,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:53:15.181269
paiN vs HYPERSPIRIT,IEM Cologne Major 2026 Stage 2,paiN,HYPERSPIRIT,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:53:05.853968
9z vs GenOne,IEM Cologne Major 2026 Stage 2,9z,GenOne,1.67,2.1,55.7,44.3,7.5,HLTV,,2026-06-05 11:52:56.576924
Legacy vs brazylijski luz,IEM Cologne Major 2026 Stage 2,Legacy,brazylijski luz,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:52:53.547485
FUT vs Lazer Cats,European Pro League Series 7,FUT,Lazer Cats,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:52:43.887089
G2 vs AM,CCT 2026 Europe Series 3,G2,AM,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:52:34.187665
Astralis vs Walczaki,CCT 2026 Europe Series 4 Closed Qualifier,Astralis,Walczaki,1.21,3.99,76.73,23.27,7.71,HLTV,,2026-06-05 11:52:25.025373
Spirit vs ASTRAL,NODWIN Clutch Series 9,Spirit,ASTRAL,1.43,2.66,65.04,34.96,7.52,HLTV,,2026-06-05 11:52:21.995846
RUSTEC vs Young Ninjas,IEM Cologne Major 2026 Stage 2,RUSTEC,Young Ninjas,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:52:18.947769
Betclic vs INOX Division,IEM Cologne Major 2026 Stage 2,Betclic,INOX Division,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:52:09.713571
G2 Ares vs aAa,IEM Cologne Major 2026 Stage 2,G2 Ares,aAa,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:52:06.662068
Fire Flux vs Arch,ESEA Advanced Season 57 Europe,Fire Flux,Arch,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:51:57.537711
DONSTU vs COPH9K,ESEA Advanced Season 57 Europe,DONSTU,COPH9K,1.85,1.85,50.0,50.0,8.11,HLTV,,2026-06-05 11:51:48.316682
ZOTIX vs Banger Gang,ESEA Advanced Season 57 Europe,ZOTIX,Banger Gang,1.31,3.2,70.95,29.05,7.59,HLTV,,2026-06-05 11:51:45.283168
OLDBOYS PL vs bankaPEPSI,IEM Cologne Major 2026 Stage 2,OLDBOYS PL,bankaPEPSI,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:51:42.237350
XI vs LFO 6,ESEA Advanced Season 57 Europe,XI,LFO 6,1.53,2.42,61.27,38.73,6.68,HLTV,,2026-06-05 11:51:39.201405
VP.Prodigy vs Clutchain,ESEA Advanced Season 57 Europe,VP.Prodigy,Clutchain,1.58,2.3,59.28,40.72,6.77,HLTV,,2026-06-05 11:51:36.167632
eternal premium vs Project 91,NODWIN Clutch Series 9,eternal premium,Project 91,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:51:30.087879
GenOne vs BIG Academy,ESEA Advanced Season 57 Europe,GenOne,BIG Academy,1.26,3.5,73.53,26.47,7.94,HLTV,,2026-06-05 11:51:20.932544
ex-RUBY vs RUSTEC,IEM Cologne Major 2026 Stage 1,ex-RUBY,RUSTEC,1.33,3.09,69.91,30.09,7.55,HLTV,,2026-06-05 11:51:17.887793
QUAZAR vs ReThink,CCT 2026 Europe Series 3,QUAZAR,ReThink,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:51:14.852309
100 Thieves vs Phantom,IEM Cologne Major 2026 Stage 1,100 Thieves,Phantom,2.25,1.6,41.56,58.44,6.94,HLTV,,2026-06-05 11:50:56.677070
ENRAGE vs ROUNDS,CCT 2026 Europe Series 4 Closed Qualifier,ENRAGE,ROUNDS,2.81,1.39,33.1,66.9,7.53,HLTV,,2026-06-05 11:50:53.630141
SPARTA vs CYBERSHOKE,European Pro League Series 7,SPARTA,CYBERSHOKE,1.69,2.22,56.78,43.22,4.22,HLTV,,2026-06-05 11:50:38.269450
Bushido Wildcats vs ex-RUBY,CCT 2026 Europe Series 3,Bushido Wildcats,ex-RUBY,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:50:35.223008
NRG vs BIG,ESEA Advanced Season 57 Europe,NRG,BIG,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 11:50:11.000580
Liquid vs FlyQuest,NODWIN Clutch Series 9,Liquid,FlyQuest,1.23,3.79,75.5,24.5,7.69,HLTV,,2026-06-05 11:50:07.941923
TYLOO vs Lynn Vision,European Pro League Series 7,TYLOO,Lynn Vision,1.56,2.46,61.19,38.81,4.75,HLTV,,2026-06-05 11:50:04.905494
Betclic vs TBD,IEM Cologne Major 2026 Stage 2,Betclic,TBD,1.41,2.71,,,,HLTV,,2026-06-04 10:31:28.171630
Falcons vs NRG,IEM Cologne Major 2026 Stage 2,Falcons,NRG,1.67,2.1,,,,HLTV,,2026-06-04 10:31:28.171630
Wingman vs Sharks,IEM Cologne Major 2026 Stage 2,Wingman,Sharks,1.21,3.99,,,,HLTV,,2026-06-04 10:31:28.171630
NEW VISION vs FlyQuest,IEM Cologne Major 2026 Stage 2,NEW VISION,FlyQuest,1.43,2.66,,,,HLTV,,2026-06-04 10:31:28.171630
KOLESIE vs Ninjas in Pyjamas,CCT 2026 Europe Series 3,KOLESIE,Ninjas in Pyjamas,2.05,1.68,,,,HLTV,,2026-06-04 10:31:28.171630
G2 vs SINNERS,ESEA Advanced Season 57 Europe,G2,SINNERS,1.55,2.36,,,,HLTV,,2026-06-04 10:31:28.171630
Spirit vs Lazer Cats,ESEA Advanced Season 57 Europe,Spirit,Lazer Cats,1.26,3.5,,,,HLTV,,2026-06-04 10:31:28.171630
Lavked vs MANA,CCT 2026 Europe Series 3,Lavked,MANA,1.58,2.3,,,,HLTV,,2026-06-04 10:31:28.171630
M80 vs NRG,European Pro League Series 7,M80,NRG,2.23,1.62,,,,HLTV,,2026-06-04 10:31:28.171630
MIBR vs Lynn Vision,NODWIN Clutch Series 9,MIBR,Lynn Vision,1.66,2.1,,,,HLTV,,2026-06-04 10:31:28.171630
brazylijski luz vs The Last Resort,IEM Cologne Major 2026 Stage 1,brazylijski luz,The Last Resort,1.35,3.06,,,,HLTV,,2026-06-04 10:31:28.171630
TYLOO vs Sharks,IEM Cologne Major 2026 Stage 1,TYLOO,Sharks,1.39,2.81,,,,HLTV,,2026-06-04 10:31:28.171630
THUNDER dOWNUNDER vs FlyQuest,CCT 2026 Europe Series 4 Closed Qualifier,THUNDER dOWNUNDER,FlyQuest,1.87,1.87,,,,HLTV,,2026-06-04 10:31:28.171630
Atreides vs TNC,NODWIN Clutch Series 9,Atreides,TNC,1.29,3.24,,,,HLTV,,2026-06-04 10:31:28.171630
INOX Division vs brazylijski luz,IEM Cologne Major 2026 Stage 1,INOX Division,brazylijski luz,1.69,2.21,,,,HLTV,,2026-06-04 10:31:28.171630
Oxuji vs Misa,NODWIN Clutch Series 9,Oxuji,Misa,2.05,1.72,45.62,54.38,6.92,HLTV,,2026-06-04 10:31:28.171630
Misa vs JUMBO,CCT 2026 Europe Series 4 Closed Qualifier,Misa,JUMBO,1.28,3.35,72.35,27.65,7.98,HLTV,,2026-06-04 10:31:28.171630
aAa vs ex-Zero Tenacity,CCT 2026 Europe Series 3,aAa,ex-Zero Tenacity,3.15,1.37,30.31,69.69,4.74,HLTV,,2026-06-04 10:31:28.171630
Betclic vs KOLESIE,IEM Cologne Major 2026 Stage 1,Betclic,KOLESIE,2.07,1.77,,,,HLTV,,2026-06-04 10:31:28.171630
Liquid vs HEROIC,IEM Cologne Major 2026 Stage 1,Liquid,HEROIC,1.21,4.53,78.92,21.08,4.72,HLTV,,2026-06-04 10:31:28.171630
